0.0	3.67
3.67	7.67
7.67	19.0
19.0	34.67
34.67	38.33
38.33	42.33
42.33	45.0
45.0	47.33
47.33	52.67
52.67	63.33
63.33	68.67
68.67	75.33
75.33	83.0
83.0	87.33
87.33	94.0
94.0	97.0
97.0	104.0
104.0	109.67
109.67	121.67
121.67	128.0
128.0	133.0
133.0	139.67
139.67	150.0
150.0	155.67
155.67	162.0
162.0	168.33
168.33	172.33
172.33	181.0
181.0	193.67
193.67	203.0
203.0	208.67
208.67	214.0
214.0	216.67
216.67	222.33
222.33	228.0
228.0	240.33
240.33	245.67
245.67	257.67
257.67	264.33
264.33	272.67
272.67	276.67
276.67	285.33
285.33	303.33
