0.0	4.0
4.67	26.67
27.33	33.33
35.33	62.67
63.33	3.27
73.33	90.67
91.33	98.0
110.0	113.33
114.0	125.33
126.0	134.67
136.67	147.33
148.0	7.5
151.33	170.67
171.33	8.67
178.67	186.0
186.67	192.67
193.33	201.33
202.0	219.33
220.0	232.0
232.67	238.0
241.33	246.67
247.33	250.67
251.33	267.33
268.0	274.0
279.33	287.33
290.67	14.63
294.0	14.8
297.33	301.33
302.0	306.0
310.67	314.67
315.33	334.67
337.33	345.33
346.0	353.33
354.0	368.67
372.0	381.33
382.0	398.0
398.67	403.33
404.0	417.33
418.0	424.67
425.33	432.67
433.33	442.67
443.33	456.67
457.33	480.67
481.33	510.0
510.67	530.67
531.33	538.0
543.33	550.67
551.33	563.33
564.0	580.0
580.67	592.0
592.67	600.67
601.33	637.33
638.0	676.67
677.33	719.33
720.0	725.33
726.0	740.0
740.67	762.67
763.33	766.67
767.33	38.47
810.67	814.0
830.67	836.0
846.0	855.33
856.0	866.0
866.67	873.33
874.0	887.33
888.0	908.0
908.67	922.67
923.33	1091.33
1094.67	1172.67
1173.33	1178.0
1178.67	1188.0
