0.0	4.0
19.33	34.0
35.33	49.33
50.0	59.33
60.0	77.33
78.0	89.33
90.0	97.33
116.0	136.0
162.0	174.0
174.67	179.33
179.33	190.0
208.0	212.67
213.33	218.67
219.33	236.0
243.33	248.0
251.33	261.33
262.67	281.33
282.0	298.0
298.67	326.0
326.67	366.0
366.67	412.0
412.67	424.0
424.67	429.33
430.0	526.67
484.0	526.67
527.33	533.33
534.0	555.33
556.0	569.33
640.0	653.33
654.0	666.67
667.33	707.33
728.0	36.5
731.33	742.67
743.33	758.67
761.33	779.33
780.0	819.33
829.33	843.33
848.67	852.0
898.67	911.33
956.67	968.0
1093.33	54.87
1154.67	1180.67
1186.67	1209.33
