title,paper_file,video_file,subtitle_file,video_url,data_imported
Lab Hackathons to Overcome Laboratory Equipment Shortages in Africa: Opportunities and Challenges,,./video/39.mp4,./__subtitles/39.srt,https://www.youtube.com/watch?v=PlSGBQNw19w,N
Reveal: Investigating Proactive Location-Based Reminiscing with Personal Digital Photo Repositories,,./video/40.mp4,./__subtitles/40.srt,https://www.youtube.com/watch?v=s1YPKeVpqvw,N
Understanding Abusive Behaviour Between Online and Offline Group Discussions,,./video/41.mp4,./__subtitles/41.srt,https://www.youtube.com/watch?v=JumPCd2jeQE,N
Nurturing Constructive Disagreement - Agonistic Design with Neurodiverse Children,,./video/42.mp4,./__subtitles/42.srt,https://www.youtube.com/watch?v=48Qo2SUcvM4,N
Why Do You Need This? Selective Disclosure of Data Among Citizen Scientists,,./video/43.mp4,./__subtitles/43.srt,https://www.youtube.com/watch?v=skiexlNxdaQ,N
"Understanding Digitally-Mediated Empathy: An Exploration of Visual, Narrative, and Biosensory ...",,./video/44.mp4,./__subtitles/44.srt,https://www.youtube.com/watch?v=K73358n7dqI,N
Explorations on Single Usability Metrics,,./video/45.mp4,./__subtitles/45.srt,https://www.youtube.com/watch?v=WQSJi95wEOk,N
Interferi: Gesture Sensing using On-Body Acoustic Interferometry,,./video/46.mp4,./__subtitles/46.srt,https://www.youtube.com/watch?v=xBpBBpQh7GI,N
Bringing Shades of Feminism to Human-Centered Computing,,./video/47.mp4,./__subtitles/47.srt,https://www.youtube.com/watch?v=SN7xUEYCKmU,N
Designing an Informal Learning Curriculum to Develop 3D Modeling Knowledge and Improve Spatial ...,,./video/48.mp4,./__subtitles/48.srt,https://www.youtube.com/watch?v=9N1zyJ65Zhk,N
Navigating Ride-Sharing Regulations: How Regulations Changed the 'Gig' of Ride-Sharing for ...,,./video/49.mp4,./__subtitles/49.srt,https://www.youtube.com/watch?v=7cV4xlsEeks,N
Countermeasures: Learning to Lie to Objects,,./video/50.mp4,./__subtitles/50.srt,https://www.youtube.com/watch?v=XM6v00NFGHI,N
Factitious: Large Scale Computer Game to Fight Fake News and Improve News Literacy,,./video/51.mp4,./__subtitles/51.srt,https://www.youtube.com/watch?v=tW_Mdo4tKzw,N
Towards Novel Urban Planning Methods -- Using Eye-tracking Systems to Understand Human Attention ...,,./video/52.mp4,./__subtitles/52.srt,https://www.youtube.com/watch?v=jh07Xwl6SVY,N
SENSEI: Harnessing Community Wisdom for Local Environmental Monitoring in Finland,,./video/53.mp4,./__subtitles/53.srt,https://www.youtube.com/watch?v=fvqMZHiFFfI,N
Lessons Learned from Research via Private Social Media Groups,,./video/54.mp4,./__subtitles/54.srt,https://www.youtube.com/watch?v=bwWrOZdxIsw,N
Providing Access to VR Through a Wheelchair,,./video/55.mp4,./__subtitles/55.srt,https://www.youtube.com/watch?v=T3xQVeHYV44,N
How to Carry Out Usability Studies with Visually Impaired Children,,./video/56.mp4,./__subtitles/56.srt,https://www.youtube.com/watch?v=4FPuZj3tHJ4,N
"""TechShops"" Engaging Young Adults with Intellectual Disability in Exploratory Design Research",,./video/57.mp4,./__subtitles/57.srt,https://www.youtube.com/watch?v=OnYAUe7xp-c,N
Young Children's Reading and Learning with Conversational Agents,,./video/58.mp4,./__subtitles/58.srt,https://www.youtube.com/watch?v=Xtn1cUnUXn8,N
Children's Reflection in Action with DIY,,./video/59.mp4,./__subtitles/59.srt,https://www.youtube.com/watch?v=MvgGzZD-cQs,N
Teaching Data Visualization and Storytelling with Data Comic Workshops,,./video/60.mp4,./__subtitles/60.srt,https://www.youtube.com/watch?v=XAMBfyaWjsI,N
Effects of Participatory Evaluation – A Critical Actor-Network Analysis,,./video/61.mp4,./__subtitles/61.srt,https://www.youtube.com/watch?v=cMXf91FWQGU,N
Multimodal Speech-based Dialogue for the Mini-Mental State Examination,,./video/62.mp4,./__subtitles/62.srt,https://www.youtube.com/watch?v=NSc1wN89c-A,N
Social Media as a Passive Sensor in Longitudinal Studies of Human Behavior and Wellbeing,,./video/63.mp4,./__subtitles/63.srt,https://www.youtube.com/watch?v=aHzd6HxnGB4,N
ROOT: A Multidisciplinary Approach to Urban Health Challenges with HCI,,./video/64.mp4,./__subtitles/64.srt,https://www.youtube.com/watch?v=MMXscPUXBsk,N
HCI and Menopause: Designing With and Around the Aging Body,,./video/65.mp4,./__subtitles/65.srt,https://www.youtube.com/watch?v=wDtIjySKaaU,N
Should I Interfere? AI-Assistants' Interaction with Knowledge Workers: A Case Study in the Oil ...,,./video/66.mp4,./__subtitles/66.srt,https://www.youtube.com/watch?v=CZnpYTFWekk,N
Identifying the Intersections: User Experience + Research Scientist Collaboration in a ...,,./video/67.mp4,./__subtitles/67.srt,https://www.youtube.com/watch?v=EtQPmBTgeA4,N
When Users Assist the Voice Assistants: From Supervision to Failure Resolution,,./video/68.mp4,./__subtitles/68.srt,https://www.youtube.com/watch?v=S99_5eZkGJQ,N
Building Together: When Research Went Viral at Uber,,./video/69.mp4,./__subtitles/69.srt,https://www.youtube.com/watch?v=b_R259Xqs24,N
From the Lab to the OB Truck: Object-Based Broadcasting at the FA Cup in Wembley Stadium,,./video/70.mp4,./__subtitles/70.srt,https://www.youtube.com/watch?v=0dbr23kR4Pg,N
"The Tesserae Project: Large-Scale, Longitudinal, In Situ, Multimodal Sensing of Information Workers",,./video/71.mp4,./__subtitles/71.srt,https://www.youtube.com/watch?v=dJaorBy-buU,N
Modeling Mobile Interface Tappability Using Crowdsourcing and Deep Learning,,./video/72.mp4,./__subtitles/72.srt,https://www.youtube.com/watch?v=Tq3X609yo44,N
Design Guideline for Developing Safe Systems that Apply Electricity to the Human Body,,./video/73.mp4,./__subtitles/73.srt,https://www.youtube.com/watch?v=LEkOauR1Kog,N
TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction,,./video/74.mp4,./__subtitles/74.srt,https://www.youtube.com/watch?v=1rmCbZlZEaY,N
The Performative Mirror Space,,./video/75.mp4,./__subtitles/75.srt,https://www.youtube.com/watch?v=DeaoSEsjZEw,N
The Future of Tangible User Interfaces,,./video/76.mp4,./__subtitles/76.srt,https://www.youtube.com/watch?v=ZI7NMICieII,N
Careers in HCI and UX: The Digital Transformation from Craft to Strategy,,./video/77.mp4,./__subtitles/77.srt,https://www.youtube.com/watch?v=rWlP09H5N4g,N
Steering Performance with Error-accepting Delays,,./video/78.mp4,./__subtitles/78.srt,https://www.youtube.com/watch?v=N2C5NLnMhJs,N
Text Entry Throughput: Towards Unifying Speed and Accuracy in a Single Performance Metric,,./video/79.mp4,./__subtitles/79.srt,https://www.youtube.com/watch?v=zFxdOLkI1dw,N
Understanding and Modeling User-Perceived Brand Personality from Mobile Application UIs,,./video/80.mp4,./__subtitles/80.srt,https://www.youtube.com/watch?v=01fuEs2UA4c,N
An Analytic Model for Time Efficient Personal Hierarchies,,./video/81.mp4,./__subtitles/81.srt,https://www.youtube.com/watch?v=oYTnveuVd0Q,N
Is Now A Good Time? An Empirical Study of Vehicle-Driver Communication Timing,,./video/82.mp4,./__subtitles/82.srt,https://www.youtube.com/watch?v=AHhaJ4DMoV8,N
"How to Work in the Car of the Future? A Neuroergonomical Study Assessing Concentration, ...",,./video/83.mp4,./__subtitles/83.srt,https://www.youtube.com/watch?v=6FByK43a-AI,N
An Exploration of Speech-Based Productivity Support in the Car,,./video/84.mp4,./__subtitles/84.srt,https://www.youtube.com/watch?v=cKfW86z8qCA,N
Around the (Virtual) World: Infinite Walking in Virtual Reality Using Electrical Muscle Stimulation,,./video/85.mp4,./__subtitles/85.srt,https://www.youtube.com/watch?v=EslqHPBSs3c,N
Personalising the TV Experience using Augmented Reality: An Exploratory Study on Delivering ...,,./video/86.mp4,./__subtitles/86.srt,https://www.youtube.com/watch?v=9WiXi0qEPIo,N
"VirtualBricks: Exploring a Scalable, Modular Toolkit for Enabling Physical Manipulation in VR",,./video/87.mp4,./__subtitles/87.srt,https://www.youtube.com/watch?v=9Tt7H0_EHh4,N
A Review & Analysis of Mindfulness Research in HCI: Framing Current Lines of Research and Future ...,,./video/88.mp4,./__subtitles/88.srt,https://www.youtube.com/watch?v=daeguU9f2t0,N
"Threats, Abuses, Flirting, and Blackmail: Gender Inequity in Social Media Voice Forums",,./video/89.mp4,./__subtitles/89.srt,https://www.youtube.com/watch?v=IA7fo7poqyk,N
AutoFritz: Autocomplete for Prototyping Virtual Breadboard Circuits,,./video/90.mp4,./__subtitles/90.srt,https://www.youtube.com/watch?v=SNFGHlzmA8k,N
Resilient Chatbots: Repair Strategy Preferences for Conversational Breakdowns,,./video/91.mp4,./__subtitles/91.srt,https://www.youtube.com/watch?v=yFDwi83p-UI,N
Implementing Multi-Touch Gestures with Touch Groups and Cross Events,,./video/92.mp4,./__subtitles/92.srt,https://www.youtube.com/watch?v=didYdY83zoc,N
"Rigor, Relevance and Impact: The Tensions and Trade-Offs Between Research in the Lab and in the Wild",,./video/93.mp4,./__subtitles/93.srt,https://www.youtube.com/watch?v=ffWRIRQwMoU,N
Beyond Schematic Capture: Meaningful Abstractions for Better Electronics Design Tools,,./video/94.mp4,./__subtitles/94.srt,https://www.youtube.com/watch?v=cm7mVGWaAyU,N
Using Time and Space Efficiently in Driverless Cars: Findings of a Co-Design Study,,./video/95.mp4,./__subtitles/95.srt,https://www.youtube.com/watch?v=sNCwrR-lefk,N
i'sFree: Eyes-Free Gesture Typing via a Touch-Enabled Remote Control,,./video/96.mp4,./__subtitles/96.srt,https://www.youtube.com/watch?v=hddqVTPiP38,N
A Rough Sketch of the Freehand Drawing Process: Blending the Line between Action and Artifact,,./video/97.mp4,./__subtitles/97.srt,https://www.youtube.com/watch?v=qyZLBfIgrtc,N
Mapping the Landscape of Creativity Support Tools in HCI,,./video/98.mp4,./__subtitles/98.srt,https://www.youtube.com/watch?v=l2WyF9mhFaM,N
23 Ways to Nudge: A Review of Technology-Mediated Nudging in Human-Computer Interaction,,./video/99.mp4,./__subtitles/99.srt,https://www.youtube.com/watch?v=-U3Bo7KR108,N
What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,,./video/100.mp4,./__subtitles/100.srt,https://www.youtube.com/watch?v=QrESSP5Jrps,N
In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound,,./video/101.mp4,./__subtitles/101.srt,https://www.youtube.com/watch?v=r5KA1Jo_vYU,N
From Gender Biases to Gender-Inclusive Design: An Empirical Investigation,,./video/102.mp4,./__subtitles/102.srt,https://www.youtube.com/watch?v=WUiUwsVJ39c,N
"Instrumenting and Analyzing Fabrication Activities, Users, and Expertise",,./video/103.mp4,./__subtitles/103.srt,https://www.youtube.com/watch?v=aViHKozRyC4,N
Together in Bed? Couples' Mobile Technology Use in Bed,,./video/104.mp4,./__subtitles/104.srt,https://www.youtube.com/watch?v=2N5gGoo1uoA,N
FTVR in VR: Evaluation of 3D Perception With a Simulated Volumetric Fish-Tank Virtual Reality ...,,./video/105.mp4,./__subtitles/105.srt,https://www.youtube.com/watch?v=071I_uohryQ,N
VIPBoard: Improving Screen-Reader Keyboard for Visually Impaired People with Character-Level ...,,./video/106.mp4,./__subtitles/106.srt,https://www.youtube.com/watch?v=NXiygBuGhsc,N
Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation,,./video/107.mp4,./__subtitles/107.srt,https://www.youtube.com/watch?v=iCCLaw3hXxw,N
Direct Finger Manipulation of 3D Object Image with Ultrasound Haptic Feedback,,./video/108.mp4,./__subtitles/108.srt,https://www.youtube.com/watch?v=DrUfwi_0huU,N
Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,,./video/109.mp4,./__subtitles/109.srt,https://www.youtube.com/watch?v=sJf_F7faczU,N
