,title,paper_file,video_file,subtitle_file,video_url,data_imported
0,Career Mentoring in Online Communities: Seeking and Receiving Advice from an Online Community,3290605.3300883.pdf,0.mp4,0.srt,https://www.youtube.com/watch?v=bP_XQz5v9Cc,Y
1,A Mulching Proposal: Analysing and Improving an Algorithmic System for Turning the Elderly into ...,,1.mp4,1.srt,https://www.youtube.com/watch?v=11e_rpdf-Ck,Y
2,Speed-Accuracy Tradeoff: A Formal Information-Theoretic Transmission Scheme (FITTS),,2.mp4,2.srt,https://www.youtube.com/watch?v=3sC5a08I070,Y
3,From Being There to Watching: Shared and Dedicated Telepresence Robot Usage at Academic Conferences,,3.mp4,3.srt,https://www.youtube.com/watch?v=wgXZHEgsK1E,Y
4,Clench Interface: Novel Biting Input Techniques,3290605.3300505.pdf,4.mp4,4.srt,https://www.youtube.com/watch?v=a0b2IOBasTA,Y
5,Digital Behaviour Change Interventions to Break and Form Habits,,5.mp4,5.srt,https://www.youtube.com/watch?v=83_ahNFFt1M,Y
6,Crowdsourcing Multi-label Audio Annotation Tasks with Citizen Scientists,3290605.3300522.pdf,6.mp4,6.srt,https://www.youtube.com/watch?v=BWgIWe03vkg,Y
7,"Autonomous Distributed Energy Systems: Problematising the Invisible through Design, Drama and ...",3290605.3300617.pdf,7.mp4,7.srt,https://www.youtube.com/watch?v=9wjeUhhDRHw,Y
8,"Imaginary Studies: A Science Fiction Autoethnography Concerning the Design, Implementation and ...",,8.mp4,8.srt,https://www.youtube.com/watch?v=0Ee-bqtcBJM,Y
9,"Measuring the Separability of Shape, Size, and Color in Scatterplots",3290605.3300899.pdf,9.mp4,9.srt,https://www.youtube.com/watch?v=oFRiEZO_5Dk,Y
10,"What Happens After Disclosing Stigmatized Experiences on Identified Social Media: Individual, ...",3290605.3300367.pdf,10.mp4,10.srt,https://www.youtube.com/watch?v=irB1wrlp_4o,Y
11,The Continued Prevalence of Dichotomous Inferences at CHI,,11.mp4,11.srt,https://www.youtube.com/watch?v=QT-H4tYKwSw,Y
12,An Exploration of Bitcoin Mining Practices: Miners' Trust Challenges and Motivations,3290605.3300859.pdf,12.mp4,12.srt,https://www.youtube.com/watch?v=In6-k1pQ-Pw,Y
13,VoiceAssist: Guiding Users to High-Quality Voice Recordings,prem-chi2019.pdf,13.mp4,13.srt,https://www.youtube.com/watch?v=-hbgnySmrkw,Y
14,Pulp Friction: Exploring the Finger Pad Periphery for Subtle Haptic Feedback,3290605.3300871.pdf,14.mp4,14.srt,https://www.youtube.com/watch?v=6URV20QiWik,Y
15,Magnetips: Combining Fingertip Tracking and Haptic Feedback for Around-Device Interaction,paper408.pdf,15.mp4,15.srt,https://www.youtube.com/watch?v=eI34NHo5WFc,Y
16,Online Grocery Delivery Services: An Opportunity to Address Food Disparities in ...,online_grocery.pdf,16.mp4,16.srt,https://www.youtube.com/watch?v=33hFNr9_NUY,Y
17,Ethical Mediation in UX Practice,3290605.3300408.pdf,17.mp4,17.srt,https://www.youtube.com/watch?v=RY4Zol4zLMI,Y
18,Communication Breakdowns Between Families and Alexa,3290605.3300473.pdf,18.mp4,18.srt,https://www.youtube.com/watch?v=OWheOorTI88,Y
19,Leveraging Distal Vibrotactile Feedback for Target Acquisition,leveraging_distal_vibrotactile.pdf,19.mp4,19.srt,https://www.youtube.com/watch?v=wtDrc6Pi_vs,Y
