0.0	3.67
3.67	12.33
12.33	14.0
14.0	22.33
22.33	26.67
26.67	31.0
31.0	39.0
39.0	45.33
45.33	51.67
51.67	55.33
55.33	61.33
61.33	75.33
75.33	84.33
84.33	90.0
90.0	97.67
97.67	102.0
102.0	111.33
111.33	119.67
119.67	128.0
128.0	131.0
131.0	139.67
139.67	145.67
145.67	149.67
149.67	160.67
160.67	177.33
177.33	185.33
185.33	206.0
206.0	213.33
213.33	220.0
220.0	222.33
222.33	234.67
234.67	243.67
243.67	248.0
248.0	252.33
252.33	254.67
254.67	260.0
260.0	264.67
264.67	271.33
271.33	276.0
276.0	281.33
281.33	286.33
286.33	292.0
292.0	302.67
302.67	313.0
