,title,paper_file,video_file,subtitle_file,video_url,data_imported
36,"Defining Haptic Experience: Foundations for Understanding, Communicating, and Evaluating HX",,./video/36.mp4,./__subtitles/36.srt,https://www.youtube.com/watch?v=z3ZoaGih0JE,N
37,RunAhead: Exploring Head Scanning based Navigation for Runners,,./video/37.mp4,./__subtitles/37.srt,https://www.youtube.com/watch?v=HNlqwn7lF2Y,N
38,Optimal Sensor Position for a Computer Mouse,,./video/38.mp4,./__subtitles/38.srt,https://www.youtube.com/watch?v=tKaiGfQ-aJ8,N
39,Pronto: Rapid Augmented Reality Video Prototyping Using Sketches and Enaction,,./video/39.mp4,./__subtitles/39.srt,https://www.youtube.com/watch?v=1PcEXTpR8As,N
40,Acoustic Transparency and the Changing Soundscape of Auditory Mixed Reality,,./video/40.mp4,./__subtitles/40.srt,https://www.youtube.com/watch?v=c8ricWLmiQY,N
41,Robustness of Eye Movement Biometrics Against Varying Stimuli and Varying Trajectory Length,,./video/41.mp4,./__subtitles/41.srt,https://www.youtube.com/watch?v=kfpr4Va2iLY,N
42,"Evaluating a Personalizable, Inconspicuous Vibrotactile(PIV) Breathing Pacer for In-the-Moment ...",,./video/42.mp4,./__subtitles/42.srt,https://www.youtube.com/watch?v=UZm_BSc260k,N
43,We are the Greatest Showmen: Configuring a Framework for Project-Based Mobile Learning,,./video/43.mp4,./__subtitles/43.srt,https://www.youtube.com/watch?v=x1CJev-gHS8,N
44,Decoding Intent With Control Theory: Comparing Muscle Versus Manual Interface Performance,,./video/44.mp4,./__subtitles/44.srt,https://www.youtube.com/watch?v=KU7c6DjAUuQ,N
45,Supporting Self-Regulation of Children with ADHD Using Wearables: Tensions and Design Challenges,,./video/45.mp4,./__subtitles/45.srt,https://www.youtube.com/watch?v=d0UAgPj8cMM,N
46,Craftspeople as Technical Collaborators: Lessons Learned through an Experimental Weaving Residency,,./video/46.mp4,./__subtitles/46.srt,https://www.youtube.com/watch?v=LLDcjMfRJAk,N
47,Retroactive Transfer Phenomena in Alternating User Interfaces,,./video/47.mp4,./__subtitles/47.srt,https://www.youtube.com/watch?v=n4pobBeNogE,N
48,Multimodal Gaze Interaction for Creative Design,,./video/48.mp4,./__subtitles/48.srt,https://www.youtube.com/watch?v=cvYwWsrhLmY,N
49,MagTouch: Robust Finger Identification for a Smartwatch Using a Magnet Ring and a Built-in ...,,./video/49.mp4,./__subtitles/49.srt,https://www.youtube.com/watch?v=hLKTkdyygHs,N
50,Exploring the Effects of Technological Writing Assistance for Support Providers in Online Mental ...,,./video/50.mp4,./__subtitles/50.srt,https://www.youtube.com/watch?v=j6fKnsOZqUI,N
51,Genie in the Bottle: Anthropomorphized Perceptions of Conversational Agents,,./video/51.mp4,./__subtitles/51.srt,https://www.youtube.com/watch?v=3mE1qFo5Tn8,N
52,"""I'm hoping they're an ethical company that won't do anything that I'll regret"": Users ...",,./video/52.mp4,./__subtitles/52.srt,https://www.youtube.com/watch?v=H2h2Jcz-k00,N
53,IoT Data in the Home: Observing Entanglements and Drawing New Encounters,,./video/53.mp4,./__subtitles/53.srt,https://www.youtube.com/watch?v=Xd5ghV0M_24,N
54,Vipo: Spatial-Visual Programming with Functions for Robot-IoT Workflows,,./video/54.mp4,./__subtitles/54.srt,https://www.youtube.com/watch?v=Aa_3we-GNIc,N
55,MRAT: The Mixed Reality Analytics Toolkit,,./video/55.mp4,./__subtitles/55.srt,https://www.youtube.com/watch?v=B5ycLM7Gt00,N
