0.0	4.0
4.67	28.0
29.33	52.0
52.67	73.33
74.0	79.33
82.0	95.33
96.67	106.67
107.33	118.67
127.33	130.67
144.0	151.33
152.67	186.67
202.0	258.0
258.67	265.33
302.67	338.0
338.67	359.33
362.67	369.33
370.0	454.67
460.0	496.67
498.0	520.0
520.67	538.0
538.67	548.67
607.33	625.33
626.0	662.0
662.67	666.0
667.33	693.33
694.0	697.33
698.0	706.67
707.33	716.0
716.67	729.33
730.0	748.0
748.67	753.33
754.67	777.33
778.67	788.67
790.0	806.0
807.33	40.47
861.33	876.0
1078.67	1132.0
1081.33	1132.0
1136.0	1184.0
1184.67	1192.67
